date,day,remarks
22-01-2024,Monday,Special Holiday
26-01-2024,Friday,Republic Day
08-03-2024,Friday,Maha Shivaratri
25-03-2024,Monday,Holi
29-03-2024,Friday,Good Friday
11-04-2024,Thursday,Eid-Ul-Fitr (Ramzan Eid)
17-04-2024,Wednesday,Ram Navami
01-05-2024,Wednesday,Maharashtra Day
17-06-2024,Monday,Bakri Eid
17-07-2024,Wednesday,Moharram
15-08-2024,Thursday,Independence Day
02-10-2024,Wednesday,Mahatma Gandhi Jayanti
01-11-2024,Friday,Diwali-Laxmi Pujan*
15-11-2024,Friday,Gurunanak Jayanti
20-11-2024,Wednesday,Maharashtra Assembly Elections
25-12-2024,Wednesday,Christmas
26-02-2025,Wednesday,Mahashivratri
14-03-2025,Friday,Holi
31-03-2025,Monday,Id-Ul-Fitr (Ramadan Eid)
10-04-2025,Thursday,Shri Mahavir Jayanti
14-04-2025,Monday,Dr. Baba Saheb Ambedkar Jayanti
18-04-2025,Friday,Good Friday
01-05-2025,Thursday,Maharashtra Day
15-08-2025,Friday,Independence Day / Parsi New Year
27-08-2025,Wednesday,Shri Ganesh Chaturthi
02-10-2025,Thursday,Mahatma Gandhi Jayanti/Dussehra
21-10-2025,Tuesday,Diwali Laxmi Pujan
22-10-2025,Wednesday,Balipratipada
05-11-2025,Wednesday,Prakash Gurpurb Sri Guru Nanak Dev
25-12-2025,Thursday,Christmas
