date,day,remarks
26-01-2023,Thursday,Republic Day
07-03-2023,Tuesday,Holi
30-03-2023,Thursday,Ram Navami
04-04-2023,Tuesday,Mahavir Jayanti
07-04-2023,Friday,Good Friday
14-04-2023,Friday,Dr. Baba Saheb Ambedkar Jayanti
01-05-2023,Monday,Maharashtra Day
29-06-2023,Thursday,Bakri Id
15-08-2023,Tuesday,Independence Day
19-09-2023,Tuesday,Ganesh Chaturthi
02-10-2023,Monday,Mahatma Gandhi Jayanti
24-10-2023,Tuesday,Dussehra
14-11-2023,Tuesday,Diwali Balipratipada
27-11-2023,Monday,Gurunanak Jayanti
25-12-2023,Monday,Christmas
